,Key,Scenario,avg_daily_load,max_daily_load,avg_daily_concentration,max_daily_concentration
0,.WWTP2river.Outflow(rBOD1),RTC with ensembles,122207.27497024294,336403.4210271739,3.5290631227488084e-07,6.883678037354497e-07
1,.WWTP2river.Outflow(rBOD1),No RTC,114432.3569047674,309393.32550543477,3.4125852931192066e-07,6.653879826010709e-07
2,.WWTP2river.Outflow(rBOD1),RTC,123397.79298526794,334768.8725163043,3.539165872853328e-07,6.851794438027377e-07
3,.WWTP2river.Outflow(rBOD1p),RTC with ensembles,13578.586106700763,37378.15795706522,3.9211812470616475e-08,7.648531161803079e-08
4,.WWTP2river.Outflow(rBOD1p),No RTC,12714.706320972824,34377.03620978261,3.791761436490336e-08,7.393199815074706e-08
5,.WWTP2river.Outflow(rBOD1p),RTC,13710.865887572716,37196.54127880435,3.9324065252881276e-08,7.61310491882409e-08
6,.WWTP2river.Outflow(rBOD2),RTC with ensembles,145873.76639672444,281321.43771195656,7.353093592221737e-07,9.391489314356757e-07
7,.WWTP2river.Outflow(rBOD2),No RTC,135880.1671537098,274099.7345543478,6.677262046257108e-07,8.866187456294534e-07
8,.WWTP2river.Outflow(rBOD2),RTC,143060.5856897315,269194.1580923913,7.314143295891342e-07,9.17751757529795e-07
9,.WWTP2river.Outflow(rBOD2p),RTC with ensembles,62517.32843182174,120566.33005434783,3.151325824447527e-07,4.024923986247375e-07
10,.WWTP2river.Outflow(rBOD2p),No RTC,58234.35737501577,117471.31472826087,2.8616837342484266e-07,3.799794624250558e-07
11,.WWTP2river.Outflow(rBOD2p),RTC,61311.679552073365,115368.92489673915,3.1346328403045656e-07,3.9332218135783373e-07
12,.WWTP2river.Outflow(rBODs),RTC with ensembles,0.0,0.0,0.0,0.0
13,.WWTP2river.Outflow(rBODs),No RTC,0.0,0.0,0.0,0.0
14,.WWTP2river.Outflow(rBODs),RTC,0.0,0.0,0.0,0.0
15,.WWTP2river.Outflow(rH2O),RTC with ensembles,148897998521.6413,227293692608.69565,,
16,.WWTP2river.Outflow(rH2O),No RTC,146904909137.34238,232657736630.43478,,
17,.WWTP2river.Outflow(rH2O),RTC,149015665447.22827,221571083260.86957,,
18,.WWTP2river.Outflow(rNH4),RTC with ensembles,307090.03381583205,707338.7527717393,1.5992416702158215e-06,2.2740474954230686e-06
19,.WWTP2river.Outflow(rNH4),No RTC,364495.59977950656,950143.3632608696,1.7379468538397793e-06,3.0386883350312305e-06
20,.WWTP2river.Outflow(rNH4),RTC,305758.00582524453,678374.9254347825,1.6071292464481755e-06,2.2282702330914468e-06
21,.WWTP2river.Outflow(rO2),RTC with ensembles,578849.5378615761,762601.1692934782,4.352757815816997e-06,5.0349941942138275e-06
22,.WWTP2river.Outflow(rO2),No RTC,576647.5738575,789124.8705978261,4.506186089118651e-06,5.7113337626128564e-06
23,.WWTP2river.Outflow(rO2),RTC,578823.6383576631,760023.0354347826,4.339341943782677e-06,4.870690804273893e-06
