catchment_scenario;period;metric;NH4;PO4
ES_Baseline;DWF;Average concentration [mg/L];44,03;7,11
ES_Baseline;DWF;Average daily maximum concentration [mg/L];48,90;7,89
ES_Baseline;DWF;Average daily maximum load [kg/d];3605,89;581,86
ES_Baseline;DWF;Average load [kg/d];2488,39;401,54
ES_Baseline;Extended;Average concentration [mg/L];40,94;6,61
ES_Baseline;Extended;Average daily maximum concentration [mg/L];47,57;7,68
ES_Baseline;Extended;Average daily maximum load [kg/d];4283,37;691,18
ES_Baseline;Extended;Average load [kg/d];2766,86;446,47
ES_Baseline;WWF;Average concentration [mg/L];41,00;6,62
ES_Baseline;WWF;Average daily maximum concentration [mg/L];47,13;7,60
ES_Baseline;WWF;Average daily maximum load [kg/d];4420,08;713,24
ES_Baseline;WWF;Average load [kg/d];2643,94;426,64
ES_RTC;DWF;Average concentration [mg/L];44,35;7,16
ES_RTC;DWF;Average daily maximum concentration [mg/L];44,86;7,24
ES_RTC;DWF;Average daily maximum load [kg/d];2623,72;423,37
ES_RTC;DWF;Average load [kg/d];2543,73;410,47
ES_RTC;Extended;Average concentration [mg/L];40,56;6,55
ES_RTC;Extended;Average daily maximum concentration [mg/L];43,68;7,05
ES_RTC;Extended;Average daily maximum load [kg/d];3294,70;531,64
ES_RTC;Extended;Average load [kg/d];2709,84;437,27
ES_RTC;WWF;Average concentration [mg/L];38,63;6,23
ES_RTC;WWF;Average daily maximum concentration [mg/L];42,74;6,90
ES_RTC;WWF;Average daily maximum load [kg/d];3075,93;496,34
ES_RTC;WWF;Average load [kg/d];2517,58;406,25
ES_RTC_ensemble;DWF;Average concentration [mg/L];43,94;7,09
ES_RTC_ensemble;DWF;Average daily maximum concentration [mg/L];44,45;7,17
ES_RTC_ensemble;DWF;Average daily maximum load [kg/d];2599,07;419,40
ES_RTC_ensemble;DWF;Average load [kg/d];2520,53;406,72
ES_RTC_ensemble;Extended;Average concentration [mg/L];40,47;6,53
ES_RTC_ensemble;Extended;Average daily maximum concentration [mg/L];43,39;7,00
ES_RTC_ensemble;Extended;Average daily maximum load [kg/d];3354,44;541,28
ES_RTC_ensemble;Extended;Average load [kg/d];2703,92;436,31
ES_RTC_ensemble;WWF;Average concentration [mg/L];38,55;6,22
ES_RTC_ensemble;WWF;Average daily maximum concentration [mg/L];42,40;6,84
ES_RTC_ensemble;WWF;Average daily maximum load [kg/d];3088,44;498,36
ES_RTC_ensemble;WWF;Average load [kg/d];2515,12;405,85
RZ_Baseline;DWF;Average concentration [mg/L];44,06;7,11
RZ_Baseline;DWF;Average daily maximum concentration [mg/L];49,34;7,96
RZ_Baseline;DWF;Average daily maximum load [kg/d];2782,59;449,01
RZ_Baseline;DWF;Average load [kg/d];2007,52;323,94
RZ_Baseline;Extended;Average concentration [mg/L];39,98;6,45
RZ_Baseline;Extended;Average daily maximum concentration [mg/L];47,90;7,73
RZ_Baseline;Extended;Average daily maximum load [kg/d];3319,38;535,63
RZ_Baseline;Extended;Average load [kg/d];2233,60;360,42
RZ_Baseline;WWF;Average concentration [mg/L];40,70;6,57
RZ_Baseline;WWF;Average daily maximum concentration [mg/L];47,52;7,67
RZ_Baseline;WWF;Average daily maximum load [kg/d];3061,92;494,08
RZ_Baseline;WWF;Average load [kg/d];2133,22;344,22
RZ_RTC;DWF;Average concentration [mg/L];40,94;6,61
RZ_RTC;DWF;Average daily maximum concentration [mg/L];41,61;6,71
RZ_RTC;DWF;Average daily maximum load [kg/d];1949,15;314,52
RZ_RTC;DWF;Average load [kg/d];1863,67;300,73
RZ_RTC;Extended;Average concentration [mg/L];38,60;6,23
RZ_RTC;Extended;Average daily maximum concentration [mg/L];40,82;6,59
RZ_RTC;Extended;Average daily maximum load [kg/d];3896,30;628,72
RZ_RTC;Extended;Average load [kg/d];2278,46;367,66
RZ_RTC;WWF;Average concentration [mg/L];38,21;6,17
RZ_RTC;WWF;Average daily maximum concentration [mg/L];40,39;6,52
RZ_RTC;WWF;Average daily maximum load [kg/d];4174,45;673,60
RZ_RTC;WWF;Average load [kg/d];2156,49;347,98
RZ_RTC_ensemble;DWF;Average concentration [mg/L];41,33;6,67
RZ_RTC_ensemble;DWF;Average daily maximum concentration [mg/L];41,98;6,77
RZ_RTC_ensemble;DWF;Average daily maximum load [kg/d];1958,01;315,95
RZ_RTC_ensemble;DWF;Average load [kg/d];1878,85;303,18
RZ_RTC_ensemble;Extended;Average concentration [mg/L];38,78;6,26
RZ_RTC_ensemble;Extended;Average daily maximum concentration [mg/L];41,07;6,63
RZ_RTC_ensemble;Extended;Average daily maximum load [kg/d];4222,18;681,31
RZ_RTC_ensemble;Extended;Average load [kg/d];2278,45;367,66
RZ_RTC_ensemble;WWF;Average concentration [mg/L];38,58;6,22
RZ_RTC_ensemble;WWF;Average daily maximum concentration [mg/L];40,94;6,61
RZ_RTC_ensemble;WWF;Average daily maximum load [kg/d];4092,85;660,44
RZ_RTC_ensemble;WWF;Average load [kg/d];2200,34;355,05
WWTP_Baseline Effluent;DWF;Average concentration [mg/L];4,81;0,38
WWTP_Baseline Effluent;DWF;Average daily maximum concentration [mg/L];5,09;0,41
WWTP_Baseline Effluent;DWF;Average daily maximum load [kg/d];695,26;56,65
WWTP_Baseline Effluent;DWF;Average load [kg/d];491,65;39,01
WWTP_Baseline Effluent;Extended;Average concentration [mg/L];5,45;0,44
WWTP_Baseline Effluent;Extended;Average daily maximum concentration [mg/L];6,63;0,54
WWTP_Baseline Effluent;Extended;Average daily maximum load [kg/d];1794,88;159,16
WWTP_Baseline Effluent;Extended;Average load [kg/d];910,49;80,18
WWTP_Baseline Effluent;WWF;Average concentration [mg/L];4,85;0,39
WWTP_Baseline Effluent;WWF;Average daily maximum concentration [mg/L];5,88;0,46
WWTP_Baseline Effluent;WWF;Average daily maximum load [kg/d];1384,56;102,86
WWTP_Baseline Effluent;WWF;Average load [kg/d];716,22;58,12
WWTP_Baseline Influent;DWF;Average concentration [mg/L];44,01;7,10
WWTP_Baseline Influent;DWF;Average daily maximum concentration [mg/L];46,74;7,54
WWTP_Baseline Influent;DWF;Average daily maximum load [kg/d];6586,19;1062,77
WWTP_Baseline Influent;DWF;Average load [kg/d];4875,74;786,77
WWTP_Baseline Influent;Extended;Average concentration [mg/L];39,81;6,42
WWTP_Baseline Influent;Extended;Average daily maximum concentration [mg/L];45,04;7,27
WWTP_Baseline Influent;Extended;Average daily maximum load [kg/d];7860,71;1268,43
WWTP_Baseline Influent;Extended;Average load [kg/d];5514,89;889,90
WWTP_Baseline Influent;WWF;Average concentration [mg/L];40,26;6,50
WWTP_Baseline Influent;WWF;Average daily maximum concentration [mg/L];45,06;7,27
WWTP_Baseline Influent;WWF;Average daily maximum load [kg/d];7880,35;1271,60
WWTP_Baseline Influent;WWF;Average load [kg/d];5290,57;853,71
WWTP_Baseline River;DWF;Average concentration [mg/L];0,46;
WWTP_Baseline River;DWF;Average daily maximum concentration [mg/L];0,57;
WWTP_Baseline River;DWF;Average daily maximum load [kg/d];225,43;
WWTP_Baseline River;DWF;Average load [kg/d];171,43;
WWTP_Baseline River;Extended;Average concentration [mg/L];0,54;
WWTP_Baseline River;Extended;Average daily maximum concentration [mg/L];0,85;
WWTP_Baseline River;Extended;Average daily maximum load [kg/d];594,98;
WWTP_Baseline River;Extended;Average load [kg/d];332,88;
WWTP_Baseline River;WWF;Average concentration [mg/L];0,57;
WWTP_Baseline River;WWF;Average daily maximum concentration [mg/L];1,35;
WWTP_Baseline River;WWF;Average daily maximum load [kg/d];849,92;
WWTP_Baseline River;WWF;Average load [kg/d];289,47;
WWTP_RTC Effluent;DWF;Average concentration [mg/L];4,88;0,38
WWTP_RTC Effluent;DWF;Average daily maximum concentration [mg/L];4,91;0,39
WWTP_RTC Effluent;DWF;Average daily maximum load [kg/d];535,69;42,14
WWTP_RTC Effluent;DWF;Average load [kg/d];501,25;39,46
WWTP_RTC Effluent;Extended;Average concentration [mg/L];5,52;0,44
WWTP_RTC Effluent;Extended;Average daily maximum concentration [mg/L];6,37;0,53
WWTP_RTC Effluent;Extended;Average daily maximum load [kg/d];1640,94;148,27
WWTP_RTC Effluent;Extended;Average load [kg/d];922,15;80,75
WWTP_RTC Effluent;WWF;Average concentration [mg/L];4,72;0,39
WWTP_RTC Effluent;WWF;Average daily maximum concentration [mg/L];5,34;0,46
WWTP_RTC Effluent;WWF;Average daily maximum load [kg/d];1120,76;107,20
WWTP_RTC Effluent;WWF;Average load [kg/d];675,46;57,94
WWTP_RTC Influent;DWF;Average concentration [mg/L];42,93;6,93
WWTP_RTC Influent;DWF;Average daily maximum concentration [mg/L];43,54;7,03
WWTP_RTC Influent;DWF;Average daily maximum load [kg/d];4959,68;800,31
WWTP_RTC Influent;DWF;Average load [kg/d];4785,59;772,22
WWTP_RTC Influent;Extended;Average concentration [mg/L];39,16;6,32
WWTP_RTC Influent;Extended;Average daily maximum concentration [mg/L];42,00;6,78
WWTP_RTC Influent;Extended;Average daily maximum load [kg/d];7183,08;1159,09
WWTP_RTC Influent;Extended;Average load [kg/d];5504,13;888,17
WWTP_RTC Influent;WWF;Average concentration [mg/L];38,20;6,16
WWTP_RTC Influent;WWF;Average daily maximum concentration [mg/L];41,57;6,71
WWTP_RTC Influent;WWF;Average daily maximum load [kg/d];7251,40;1170,11
WWTP_RTC Influent;WWF;Average load [kg/d];5189,53;837,40
WWTP_RTC River;DWF;Average concentration [mg/L];0,48;
WWTP_RTC River;DWF;Average daily maximum concentration [mg/L];0,48;
WWTP_RTC River;DWF;Average daily maximum load [kg/d];179,14;
WWTP_RTC River;DWF;Average load [kg/d];175,81;
WWTP_RTC River;Extended;Average concentration [mg/L];0,56;
WWTP_RTC River;Extended;Average daily maximum concentration [mg/L];0,79;
WWTP_RTC River;Extended;Average daily maximum load [kg/d];552,71;
WWTP_RTC River;Extended;Average load [kg/d];340,75;
WWTP_RTC River;WWF;Average concentration [mg/L];0,47;
WWTP_RTC River;WWF;Average daily maximum concentration [mg/L];0,78;
WWTP_RTC River;WWF;Average daily maximum load [kg/d];449,48;
WWTP_RTC River;WWF;Average load [kg/d];224,31;
WWTP_RTC_ensemble Effluent;DWF;Average concentration [mg/L];4,88;0,38
WWTP_RTC_ensemble Effluent;DWF;Average daily maximum concentration [mg/L];4,91;0,39
WWTP_RTC_ensemble Effluent;DWF;Average daily maximum load [kg/d];530,16;41,86
WWTP_RTC_ensemble Effluent;DWF;Average load [kg/d];502,33;39,63
WWTP_RTC_ensemble Effluent;Extended;Average concentration [mg/L];5,52;0,44
WWTP_RTC_ensemble Effluent;Extended;Average daily maximum concentration [mg/L];6,42;0,54
WWTP_RTC_ensemble Effluent;Extended;Average daily maximum load [kg/d];1693,56;153,53
WWTP_RTC_ensemble Effluent;Extended;Average load [kg/d];925,30;80,98
WWTP_RTC_ensemble Effluent;WWF;Average concentration [mg/L];4,84;0,39
WWTP_RTC_ensemble Effluent;WWF;Average daily maximum concentration [mg/L];5,66;0,44
WWTP_RTC_ensemble Effluent;WWF;Average daily maximum load [kg/d];1175,16;90,48
WWTP_RTC_ensemble Effluent;WWF;Average load [kg/d];720,19;57,58
WWTP_RTC_ensemble Influent;DWF;Average concentration [mg/L];42,88;6,92
WWTP_RTC_ensemble Influent;DWF;Average daily maximum concentration [mg/L];43,48;7,02
WWTP_RTC_ensemble Influent;DWF;Average daily maximum load [kg/d];4938,92;796,96
WWTP_RTC_ensemble Influent;DWF;Average load [kg/d];4777,76;770,96
WWTP_RTC_ensemble Influent;Extended;Average concentration [mg/L];39,17;6,32
WWTP_RTC_ensemble Influent;Extended;Average daily maximum concentration [mg/L];41,96;6,77
WWTP_RTC_ensemble Influent;Extended;Average daily maximum load [kg/d];7389,05;1192,32
WWTP_RTC_ensemble Influent;Extended;Average load [kg/d];5497,82;887,15
WWTP_RTC_ensemble Influent;WWF;Average concentration [mg/L];38,31;6,18
WWTP_RTC_ensemble Influent;WWF;Average daily maximum concentration [mg/L];41,67;6,72
WWTP_RTC_ensemble Influent;WWF;Average daily maximum load [kg/d];6659,47;1074,60
WWTP_RTC_ensemble Influent;WWF;Average load [kg/d];5227,28;843,49
WWTP_RTC_ensemble River;DWF;Average concentration [mg/L];0,48;
WWTP_RTC_ensemble River;DWF;Average daily maximum concentration [mg/L];0,48;
WWTP_RTC_ensemble River;DWF;Average daily maximum load [kg/d];179,15;
WWTP_RTC_ensemble River;DWF;Average load [kg/d];176,10;
WWTP_RTC_ensemble River;Extended;Average concentration [mg/L];0,56;
WWTP_RTC_ensemble River;Extended;Average daily maximum concentration [mg/L];0,82;
WWTP_RTC_ensemble River;Extended;Average daily maximum load [kg/d];574,43;
WWTP_RTC_ensemble River;Extended;Average load [kg/d];341,96;
WWTP_RTC_ensemble River;WWF;Average concentration [mg/L];0,56;
WWTP_RTC_ensemble River;WWF;Average daily maximum concentration [mg/L];1,25;
WWTP_RTC_ensemble River;WWF;Average daily maximum load [kg/d];774,69;
WWTP_RTC_ensemble River;WWF;Average load [kg/d];280,33;
